Part Num	Mfg Name	VID	Vendor Part Num	Description
MIC-45-22	ANY	*	MIC-45-22	MIC COND ANALOG OMNI
MP2162GQH	MONOLITHIC POWER	*	MP2162GQH	IC REG BUCK SYNC ADJ 2A 8WDFN
MP65150DJ	MONOLITHIC POWER	*	MP65150DJ	IC POWER SWITCH 1.7A SOT23-6
MP65151DJ	MONOLITHIC POWER	*	MP65151DJ	IC POWER SWITCH 1.7A SOT23-6
NTB0102GU	NXP	*	NTB0102GU	IC TRANSLATING TXRX 10XQFN
NTB0104GU12	NXP	*	NTB0104GU12	IC TRANSLATING TXRX 12XQFN
PRTR5V0U2X	NXP	*	PRTR5V0U2X	TVS DIODE ARRAY 2CH 5V SOT143
PRTR5V0U4D	NXP	*	PRTR5V0U4D	TVS DIODE ARRAY 4CH 5V SOT23-6
R0402_0R_5%_62.5mW	ANY	*	R0402_0R_5%_62.5mW	RES 0.0 OHM 1/16W JUMP 0402 SMD
R0402_1R_5%_62.5mW	ANY	*	R0402_1R_5%_62.5mW	RES 1 OHM 1/16W 0402 SMD
R0402_1M_5%_62.5mW	ANY	*	R0402_1M_5%_62.5mW	RES 1M OHM 1/16W 0402 SMD
R0402_22R_5%_62.5mW	ANY	*	R0402_22R_5%_62.5mW	RES 22 OHM 1/16W 5% 0402 SMD
R0402_33R_5%_62.5mW	ANY	*	R0402_33R_5%_62.5mW	RES 33 OHM 1/16W 5% 0402 SMD
R0402_49R9_1%_62.5mW	ANY	*	R0402_49R9_1%_62.5mW	RES 49.9 OHM 1/16W 1% 0402 SMD
R0402_270R_5%_62.5mW	ANY	*	R0402_270R_5%_62.5mW	RES 270 OHM 1/16W 5% 0402 SMD
R0402_680R_5%_62.5mW	ANY	*	R0402_680R_5%_62.5mW	RES 680 OHM 1/16W 5% 0402 SMD
R0402_1k_5%_62.5mW	ANY	*	R0402_1k_5%_62.5mW	RES 1K OHM 1/16W 5% 0402 SMD
R0402_10k_5%_62.5mW	ANY	*	R0402_10k_5%_62.5mW	RES 10K OHM 1/16W 5% 0402 SMD
R0402_15k_5%_62.5mW	ANY	*	R0402_15k_5%_62.5mW	RES 15K OHM 1/16W 5% 0402 SMD
R0402_33k2_1%_62.5mW	ANY	*	R0402_33k2_1%_62.5mW	RES 33.2K OHM 1/16W 1% 0402 SMD
R0402_4k7_5%_62.5mW	ANY	*	R0402_4k7_5%_62.5mW	RES 4.7K OHM 1/16W 5% 0402 SMD
R0402_47k_5%_62.5mW	ANY	*	R0402_47k_5%_62.5mW	RES 47K OHM 1/16W 5% 0402 SMD
R0402_100k_5%_62.5mW	ANY	*	R0402_100k_5%_62.5mW	RES 100K OHM 1/16W 5% 0402 SMD
R0402_150k_1%_62.5mW	ANY	*	R0402_150k_1%_62.5mW	RES 150K OHM 1/16W 1% 0402 SMD
R0402_470k_5%_62.5mW	ANY	*	R0402_470k_5%_62.5mW	RES 470K OHM 1/16W 5% 0402 SMD
R0603_0R_5%_125mW	ANY	*	R0603_0R_5%_125mW	RES 0.0 OHM 1/8W JUMP SMD 0603
R0603_150R_5%_125mW	ANY	*	R0603_150R_5%_125mW	RES 150 OHM 1/8W 5% 0603 SMD
R0603_270R_5%_125mW	ANY	*	R0603_270R_5%_125mW	RES 270 OHM 1/8W 5% 0603 SMD
R0603_330R_5%_125mW	ANY	*	R0603_330R_5%_125mW	RES 330 OHM 1/8W 5% 0603 SMD
SD-007	SZJUSTWELL ELECTRONICS	*	SD-007	CONN MICRO SD R/A PUSH-PUSH SMD
SPI_FLASH	ANY	*	SPI_FLASH	SPI FLASH SMD
ST-3538-050	SZJUSTWELL ELECTRONICS	*	ST-3538-050	CONN AUDIO JACK 3.5MM STEREO SMD
SWPA252012SMT	SUNLORD	*	SWPA252012SMT	INDUCTOR 1.2UH 2.0A SMD2.5 X 2.0 X 1.2
USB MR5-001	SZJUSTWELL ELECTRONICS	*	USB MR5-001	CONN USB MICRO B RECPT SMT R/A
USB MR5-003A	SZJUSTWELL ELECTRONICS	*	USB MR5-003A	CONN USB MICRO B RECPT SMT R/A
USB_AF-006	SZJUSTWELL ELECTRONICS	*	USB_AF-006	CONN USB A RECPT SMT R/A VERT
USB_AF-020	SZJUSTWELL ELECTRONICS	*	USB_AF-020	CONN USB A RECPT T/H R/A VERT
WM8978CGEFL	CIRRUS LOGIC	*	WM8978CGEFL	IC CODEC STER SPEAKER DVR 32QF
